,1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, allTime, allTime
AK, 0.11765, 0.13636, 0.15854, 0.11667, 0.13913, 0.12583, 0.14865, 0.13158, 0.12258, 0.12981, 0.10917, 0.125, 0.12195, 0.11962, 0.10929, 0.13084, 0.11364, 0.12381, 0.12442, 0.13295, 0.12903, 0.10976, 0.12335, 0.12992, 0.11962, 0.13146, 0.12177, 0.12313, 0.12143, 0.12274, 0.11924, 0.11335, 0.11605, 0.10714, 0.11628, 0.11186, 0.10417, 0.09645, 0.08244, 0.08478, 0.08199, 0.07477, 0.07045, 0.06567, 0.06169, 0.06708, 0.06324, 0.06746, 0.07024, 0.07003, 0.07006, 0.06981, 0.0713, 0.0728, 0.075, 0.07524, 0.08032, 0.07434, 0.07652, 0.07277, 0.07226, 0.07128, 0.08111, 0.08051, 0.07712, 0.07454, 0.07364, 0.07391, 0.07226, 0.07092, 0.06685, 0.06667, 0.06365, 0.05896, 0.05982, 0.0595, 0.06376, 0.06406, 0.06449, 0.06484, 0.06303, 0.06808, 0.06545, 0.06848, 0.07194, 0.0741, 0.07524, 0.07859, 0.08118, 0.08316, 0.08486, 0.08908, 0.08987, 0.08985, 0.08801, 0.09312, 0.09266, 0.08564, 0.09299, 0.09087, 0.09204, 0.09322, 0.09431, 0.09225, 0.09052, 0.09375, 0.0914, 0.09517, 0.09403, 0.09519, 0.16664, 
AL, 0.02862, 0.02941, 0.02653, 0.02596, 0.02396, 0.0223, 0.02232, 0.02179, 0.02062, 0.02038, 0.01974, 0.0194, 0.01883, 0.01953, 0.01893, 0.01822, 0.01864, 0.01851, 0.01862, 0.01862, 0.01833, 0.01893, 0.01876, 0.01945, 0.01848, 0.01859, 0.01887, 0.01845, 0.01869, 0.01842, 0.01852, 0.01779, 0.01699, 0.01662, 0.017, 0.01662, 0.01601, 0.01529, 0.01608, 0.01545, 0.01657, 0.01659, 0.01618, 0.01618, 0.01699, 0.01788, 0.01795, 0.01811, 0.01876, 0.01904, 0.02005, 0.02033, 0.02003, 0.02124, 0.02152, 0.02275, 0.02358, 0.02334, 0.02486, 0.02474, 0.02428, 0.02596, 0.02671, 0.02865, 0.02866, 0.02943, 0.02975, 0.03004, 0.03095, 0.03033, 0.02953, 0.03066, 0.03065, 0.02954, 0.02944, 0.02942, 0.03079, 0.03037, 0.03054, 0.03067, 0.03141, 0.03136, 0.03368, 0.03331, 0.03358, 0.03427, 0.03588, 0.03458, 0.0359, 0.03741, 0.03783, 0.03872, 0.04022, 0.04175, 0.04307, 0.04299, 0.04414, 0.04421, 0.04476, 0.04598, 0.04865, 0.04868, 0.04714, 0.04741, 0.04794, 0.04856, 0.04837, 0.04916, 0.05057, 0.05043, 0.11476, 
AR, 0.03979, 0.03953, 0.0359, 0.03568, 0.0318, 0.02886, 0.02916, 0.02872, 0.02682, 0.02681, 0.02603, 0.02617, 0.02723, 0.02647, 0.02593, 0.02502, 0.02593, 0.02567, 0.0264, 0.02724, 0.02601, 0.0273, 0.02593, 0.02624, 0.02601, 0.02655, 0.02704, 0.02551, 0.02608, 0.02589, 0.02505, 0.02423, 0.02337, 0.02301, 0.02382, 0.02419, 0.02224, 0.02106, 0.02169, 0.02193, 0.02202, 0.02245, 0.02315, 0.02388, 0.02404, 0.02504, 0.02457, 0.02516, 0.0265, 0.02719, 0.02703, 0.02785, 0.02701, 0.02761, 0.02878, 0.03081, 0.03212, 0.03227, 0.03416, 0.0344, 0.03259, 0.0325, 0.03391, 0.03637, 0.03628, 0.03616, 0.03655, 0.03625, 0.03688, 0.03555, 0.03516, 0.03486, 0.03509, 0.03537, 0.03523, 0.03598, 0.03544, 0.03653, 0.03747, 0.03553, 0.03738, 0.03729, 0.03973, 0.04089, 0.04103, 0.04095, 0.0407, 0.04304, 0.04547, 0.04541, 0.04647, 0.04707, 0.04856, 0.04987, 0.05059, 0.05157, 0.05238, 0.053, 0.05603, 0.0561, 0.05839, 0.05651, 0.05782, 0.05956, 0.05683, 0.05847, 0.05805, 0.06008, 0.06025, 0.06219, 0.12594, 
AZ, 0.09898, 0.10519, 0.09712, 0.08955, 0.08391, 0.07724, 0.07019, 0.067, 0.06168, 0.06126, 0.05824, 0.05988, 0.06242, 0.06252, 0.05804, 0.0611, 0.05752, 0.05853, 0.05692, 0.05785, 0.05936, 0.05982, 0.05878, 0.06207, 0.06053, 0.0584, 0.0566, 0.05465, 0.05464, 0.05212, 0.05221, 0.05134, 0.04737, 0.0443, 0.04469, 0.0445, 0.04154, 0.03836, 0.03879, 0.03705, 0.03937, 0.03824, 0.03459, 0.03514, 0.03405, 0.03521, 0.03392, 0.03362, 0.03389, 0.03426, 0.03283, 0.03319, 0.03365, 0.03441, 0.03604, 0.03703, 0.03869, 0.03819, 0.03897, 0.03821, 0.03632, 0.03711, 0.03778, 0.03842, 0.03742, 0.03811, 0.038, 0.03804, 0.03644, 0.03633, 0.03526, 0.03367, 0.03367, 0.03183, 0.03217, 0.03205, 0.03295, 0.03165, 0.03225, 0.03233, 0.03306, 0.03418, 0.03497, 0.0354, 0.03587, 0.03493, 0.03486, 0.03613, 0.03554, 0.0359, 0.03604, 0.0368, 0.03748, 0.03673, 0.03685, 0.03769, 0.03652, 0.0375, 0.03818, 0.03982, 0.04199, 0.04151, 0.0417, 0.0421, 0.04085, 0.04035, 0.04072, 0.04152, 0.04283, 0.04223, 0.16057, 
CA, 0.03916, 0.03802, 0.03091, 0.02808, 0.02664, 0.02478, 0.02388, 0.02286, 0.02217, 0.02233, 0.02054, 0.01995, 0.01947, 0.0192, 0.01821, 0.01902, 0.01896, 0.01849, 0.01875, 0.01867, 0.01809, 0.01775, 0.01823, 0.01888, 0.01841, 0.01819, 0.01798, 0.01737, 0.01615, 0.01646, 0.01558, 0.01471, 0.01321, 0.01288, 0.01238, 0.01241, 0.01165, 0.0109, 0.01101, 0.01098, 0.01077, 0.01046, 0.01019, 0.01002, 0.01002, 0.01001, 0.00998, 0.00984, 0.00999, 0.01019, 0.01029, 0.01049, 0.01038, 0.01053, 0.01094, 0.01147, 0.01205, 0.01242, 0.01279, 0.01294, 0.01328, 0.01431, 0.01477, 0.01582, 0.01563, 0.01588, 0.01564, 0.01582, 0.01576, 0.01542, 0.01507, 0.01483, 0.01468, 0.01447, 0.01444, 0.01436, 0.01472, 0.01436, 0.0145, 0.01451, 0.01427, 0.01421, 0.01455, 0.01508, 0.01505, 0.01541, 0.01547, 0.01576, 0.01604, 0.01638, 0.01683, 0.01705, 0.01734, 0.01724, 0.0176, 0.0178, 0.01793, 0.01813, 0.01853, 0.01921, 0.01943, 0.01925, 0.01963, 0.01935, 0.01917, 0.0192, 0.01902, 0.01926, 0.01956, 0.01993, 0.15102, 
CO, 0.05544, 0.05719, 0.04799, 0.04862, 0.04559, 0.03675, 0.03533, 0.03598, 0.03393, 0.03388, 0.03188, 0.03084, 0.03154, 0.0327, 0.0329, 0.03416, 0.03374, 0.03386, 0.03325, 0.03374, 0.03427, 0.03224, 0.03408, 0.03554, 0.03506, 0.03361, 0.03411, 0.0332, 0.03332, 0.03322, 0.03236, 0.03228, 0.03078, 0.02939, 0.03052, 0.02956, 0.02769, 0.02628, 0.02696, 0.02638, 0.0267, 0.02552, 0.0251, 0.02508, 0.02542, 0.02583, 0.02597, 0.02646, 0.02615, 0.02718, 0.02692, 0.02697, 0.02681, 0.02705, 0.02971, 0.02956, 0.03185, 0.03142, 0.03117, 0.03099, 0.03218, 0.0321, 0.03419, 0.03495, 0.03362, 0.03433, 0.03391, 0.03205, 0.0322, 0.03199, 0.03112, 0.03134, 0.03066, 0.02906, 0.0292, 0.03024, 0.02963, 0.03082, 0.03087, 0.03133, 0.03318, 0.03381, 0.03555, 0.0343, 0.03713, 0.0371, 0.03734, 0.03847, 0.03838, 0.03898, 0.03867, 0.03942, 0.03885, 0.03976, 0.03977, 0.04139, 0.04165, 0.04226, 0.04303, 0.0451, 0.04554, 0.04577, 0.0457, 0.04572, 0.04656, 0.04431, 0.04513, 0.04645, 0.04724, 0.04634, 0.1512, 
CT, 0.04319, 0.03688, 0.03031, 0.03007, 0.02515, 0.02232, 0.02057, 0.01913, 0.01906, 0.02024, 0.01981, 0.01939, 0.02089, 0.02049, 0.02089, 0.02134, 0.02169, 0.02159, 0.02186, 0.0227, 0.02216, 0.0229, 0.0234, 0.0245, 0.02407, 0.02592, 0.02567, 0.02516, 0.02485, 0.02536, 0.02414, 0.02288, 0.02084, 0.01933, 0.02135, 0.02135, 0.01936, 0.0179, 0.01862, 0.01964, 0.01909, 0.01829, 0.01803, 0.01884, 0.01817, 0.01805, 0.01827, 0.01833, 0.01879, 0.0192, 0.01922, 0.01973, 0.01989, 0.02062, 0.02094, 0.02186, 0.02233, 0.02383, 0.02437, 0.02491, 0.02575, 0.02785, 0.03013, 0.03088, 0.03226, 0.03305, 0.03151, 0.03207, 0.03214, 0.03196, 0.02994, 0.02985, 0.02937, 0.02848, 0.02789, 0.02842, 0.02868, 0.02807, 0.02806, 0.02856, 0.02892, 0.02962, 0.03096, 0.03174, 0.03235, 0.03147, 0.03307, 0.0348, 0.03393, 0.03632, 0.03692, 0.0381, 0.03928, 0.04039, 0.04091, 0.04243, 0.04308, 0.04512, 0.04705, 0.04854, 0.04932, 0.05087, 0.04856, 0.05002, 0.04851, 0.04815, 0.05046, 0.05121, 0.05068, 0.05129, 0.13908, 
DC, 0.06407, 0.06854, 0.05808, 0.05598, 0.05552, 0.05273, 0.04898, 0.04812, 0.04386, 0.04207, 0.04455, 0.04565, 0.0424, 0.04185, 0.03969, 0.04174, 0.0407, 0.04139, 0.04252, 0.04265, 0.03936, 0.04126, 0.03971, 0.04199, 0.04172, 0.03931, 0.03921, 0.03801, 0.03701, 0.03592, 0.03473, 0.03289, 0.02906, 0.02966, 0.02821, 0.02864, 0.02659, 0.02665, 0.02735, 0.02757, 0.0271, 0.02709, 0.0261, 0.02729, 0.02632, 0.02768, 0.02813, 0.02795, 0.02781, 0.02966, 0.0315, 0.03109, 0.03214, 0.03351, 0.03401, 0.03386, 0.03678, 0.03721, 0.0393, 0.04048, 0.03951, 0.04399, 0.04903, 0.05384, 0.05574, 0.05602, 0.05313, 0.05636, 0.0584, 0.05793, 0.05672, 0.05542, 0.05279, 0.05191, 0.05652, 0.05731, 0.05692, 0.05725, 0.05879, 0.08312, 0.06307, 0.06285, 0.06476, 0.06452, 0.06859, 0.072, 0.07305, 0.0763, 0.0757, 0.07708, 0.08185, 0.08096, 0.0754, 0.08039, 0.08089, 0.08235, 0.08594, 0.08389, 0.08886, 0.088, 0.08883, 0.08927, 0.08877, 0.08717, 0.08812, 0.08535, 0.08711, 0.08511, 0.08794, 0.09131, 0.15512, 
DE, 0.08793, 0.08365, 0.07592, 0.07759, 0.06559, 0.05882, 0.05686, 0.05636, 0.04959, 0.04867, 0.05435, 0.05415, 0.05703, 0.05344, 0.06055, 0.06132, 0.05709, 0.06437, 0.05878, 0.05855, 0.06013, 0.06027, 0.06106, 0.06349, 0.06146, 0.06368, 0.06672, 0.06885, 0.06464, 0.06129, 0.0596, 0.05867, 0.05461, 0.05491, 0.05716, 0.05183, 0.05037, 0.04649, 0.04715, 0.04891, 0.05061, 0.04818, 0.04754, 0.04501, 0.04515, 0.04566, 0.04401, 0.04364, 0.04342, 0.04526, 0.04675, 0.04649, 0.04602, 0.04837, 0.04797, 0.05081, 0.05049, 0.05034, 0.05539, 0.05517, 0.05154, 0.05568, 0.06065, 0.05747, 0.05777, 0.06105, 0.05926, 0.05952, 0.05793, 0.0601, 0.05701, 0.05328, 0.05431, 0.05104, 0.05175, 0.05095, 0.05098, 0.05054, 0.05113, 0.04826, 0.04776, 0.0509, 0.05465, 0.05214, 0.05309, 0.05897, 0.06321, 0.05774, 0.06361, 0.06437, 0.06715, 0.07244, 0.07414, 0.0693, 0.07308, 0.07516, 0.07741, 0.07805, 0.08001, 0.08425, 0.08455, 0.08527, 0.08471, 0.08762, 0.08826, 0.08473, 0.08757, 0.093, 0.09084, 0.09404, 0.15855, 
FL, 0.05165, 0.05318, 0.04392, 0.0442, 0.03818, 0.03609, 0.03593, 0.03611, 0.03307, 0.03451, 0.03237, 0.03134, 0.03186, 0.03127, 0.02947, 0.02759, 0.02539, 0.02572, 0.02815, 0.03121, 0.03043, 0.03026, 0.0305, 0.03299, 0.03093, 0.02982, 0.03043, 0.02949, 0.02903, 0.02923, 0.02788, 0.02534, 0.02558, 0.02313, 0.02158, 0.02183, 0.02125, 0.02007, 0.02057, 0.0202, 0.01947, 0.01858, 0.01864, 0.01833, 0.01782, 0.0175, 0.01719, 0.01708, 0.0168, 0.01665, 0.01695, 0.01751, 0.01853, 0.01841, 0.01912, 0.01955, 0.02017, 0.02125, 0.0213, 0.02048, 0.02091, 0.02153, 0.0225, 0.0237, 0.02396, 0.02549, 0.02548, 0.02492, 0.02523, 0.02468, 0.02344, 0.02324, 0.02275, 0.02143, 0.02158, 0.0217, 0.02094, 0.02112, 0.02098, 0.02066, 0.02068, 0.02147, 0.02265, 0.02235, 0.02286, 0.02313, 0.0239, 0.02434, 0.02453, 0.02514, 0.02571, 0.02623, 0.02639, 0.02669, 0.02713, 0.02659, 0.02692, 0.02724, 0.02813, 0.02872, 0.0293, 0.02942, 0.02941, 0.02921, 0.02804, 0.02804, 0.02763, 0.02842, 0.02812, 0.02815, 0.15114, 
